class,filename,width,height,aspect_ratio,mode,file_size_kb
cardboard,cardboard75.jpg,512,384,1.333,RGB,12.1
cardboard,cardboard15.jpg,512,384,1.333,RGB,11.7
cardboard,cardboard234.jpg,512,384,1.333,RGB,17.3
cardboard,cardboard251.jpg,512,384,1.333,RGB,19.2
cardboard,cardboard314.jpg,512,384,1.333,RGB,16.8
cardboard,cardboard193.jpg,512,384,1.333,RGB,18.2
cardboard,cardboard157.jpg,512,384,1.333,RGB,17.7
cardboard,cardboard392.jpg,512,384,1.333,RGB,9.6
cardboard,cardboard241.jpg,512,384,1.333,RGB,23.3
cardboard,cardboard337.jpg,512,384,1.333,RGB,17.7
cardboard,cardboard101.jpg,512,384,1.333,RGB,14.0
cardboard,cardboard139.jpg,512,384,1.333,RGB,21.7
cardboard,cardboard110.jpg,512,384,1.333,RGB,17.0
cardboard,cardboard328.jpg,512,384,1.333,RGB,10.9
cardboard,cardboard330.jpg,512,384,1.333,RGB,19.3
cardboard,cardboard61.jpg,512,384,1.333,RGB,19.2
cardboard,cardboard179.jpg,512,384,1.333,RGB,20.0
cardboard,cardboard228.jpg,512,384,1.333,RGB,21.2
cardboard,cardboard395.jpg,512,384,1.333,RGB,16.4
cardboard,cardboard276.jpg,512,384,1.333,RGB,17.0
cardboard,cardboard184.jpg,512,384,1.333,RGB,14.2
cardboard,cardboard42.jpg,512,384,1.333,RGB,13.3
cardboard,cardboard355.jpg,512,384,1.333,RGB,18.6
cardboard,cardboard138.jpg,512,384,1.333,RGB,17.4
cardboard,cardboard127.jpg,512,384,1.333,RGB,20.2
cardboard,cardboard245.jpg,512,384,1.333,RGB,25.7
cardboard,cardboard115.jpg,512,384,1.333,RGB,15.9
cardboard,cardboard310.jpg,512,384,1.333,RGB,22.1
cardboard,cardboard249.jpg,512,384,1.333,RGB,24.6
cardboard,cardboard190.jpg,512,384,1.333,RGB,28.1
cardboard,cardboard313.jpg,512,384,1.333,RGB,13.1
cardboard,cardboard99.jpg,512,384,1.333,RGB,9.8
cardboard,cardboard125.jpg,512,384,1.333,RGB,18.9
cardboard,cardboard334.jpg,512,384,1.333,RGB,13.8
cardboard,cardboard78.jpg,512,384,1.333,RGB,17.0
cardboard,cardboard124.jpg,512,384,1.333,RGB,18.0
cardboard,cardboard177.jpg,512,384,1.333,RGB,21.2
cardboard,cardboard252.jpg,512,384,1.333,RGB,22.4
cardboard,cardboard299.jpg,512,384,1.333,RGB,24.4
cardboard,cardboard212.jpg,512,384,1.333,RGB,15.2
cardboard,cardboard188.jpg,512,384,1.333,RGB,13.7
cardboard,cardboard199.jpg,512,384,1.333,RGB,13.3
cardboard,cardboard94.jpg,512,384,1.333,RGB,14.9
cardboard,cardboard46.jpg,512,384,1.333,RGB,16.0
cardboard,cardboard153.jpg,512,384,1.333,RGB,17.1
cardboard,cardboard50.jpg,512,384,1.333,RGB,21.3
cardboard,cardboard39.jpg,512,384,1.333,RGB,22.0
cardboard,cardboard159.jpg,512,384,1.333,RGB,15.9
cardboard,cardboard293.jpg,512,384,1.333,RGB,14.5
cardboard,cardboard278.jpg,512,384,1.333,RGB,13.4
cardboard,cardboard123.jpg,512,384,1.333,RGB,15.7
cardboard,cardboard76.jpg,512,384,1.333,RGB,18.3
cardboard,cardboard207.jpg,512,384,1.333,RGB,13.5
cardboard,cardboard368.jpg,512,384,1.333,RGB,20.6
cardboard,cardboard27.jpg,512,384,1.333,RGB,24.3
cardboard,cardboard347.jpg,512,384,1.333,RGB,16.8
cardboard,cardboard262.jpg,512,384,1.333,RGB,12.1
cardboard,cardboard47.jpg,512,384,1.333,RGB,19.7
cardboard,cardboard148.jpg,512,384,1.333,RGB,19.6
cardboard,cardboard336.jpg,512,384,1.333,RGB,17.0
cardboard,cardboard114.jpg,512,384,1.333,RGB,16.1
cardboard,cardboard258.jpg,512,384,1.333,RGB,27.2
cardboard,cardboard141.jpg,512,384,1.333,RGB,24.3
